year_month,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost
2021-04,258,0,0,0
2021-05,1546,74,0,0
2021-06,2266,231,5,0
2021-07,4661,1846,168,0
2021-08,5532,2570,770,0
2021-09,3161,1179,1217,0
2021-10,1089,200,1077,0
2021-11,524,55,801,14
2021-12,363,30,576,10
2022-01,167,11,232,25
2022-02,333,30,513,132
2022-03,659,51,947,456
2022-04,162,13,173,102
2022-05,36,3,45,36
2022-06,21,0,27,42
2022-07,50,5,79,99
2022-08,67,2,71,96
2022-09,53,1,34,47
2022-10,30,0,34,45
2022-11,57,5,77,95
2022-12,47,0,42,62
2023-01,16,0,9,28
2023-02,5,1,7,11
2023-03,5,0,6,10
2023-04,11,1,18,23
2023-05,20,3,22,44
2023-06,9,1,7,16
2023-07,3,0,1,4
2023-08,0,1,2,0
2023-09,1,0,4,6
2023-10,3,0,2,6
2023-11,8,0,2,12
2023-12,15,0,24,49
2024-01,5,1,7,24
2024-02,0,0,0,1
2024-03,0,0,1,1
2024-04,0,0,0,0
2024-05,0,0,0,1
2024-06,0,0,0,0
2024-07,0,0,0,0
2024-08,0,0,0,0
2024-09,0,0,0,0
2024-10,0,0,0,0
2024-11,0,0,0,0
