year_month,deaths_new,cases_new,CFR,cumulative_deaths,cumulative_cases
2021-04,234,63213,0.3701770205495705,234,63213
2021-05,1290,163644,0.7882965461611791,1524,226857
2021-06,2374,179622,1.3216643840954894,3898,406479
2021-07,3854,361293,1.066724237668596,7752,767772
2021-08,7639,632982,1.2068273663390112,15391,1400754
2021-09,9669,499441,1.935964408208377,25060,1900195
2021-10,2577,225947,1.1405329568438616,27637,2126142
2021-11,1515,161140,0.9401762442596501,29152,2287282
2021-12,1063,125304,0.8483368447934623,30215,2412586
2022-01,491,112672,0.43577818801476853,30706,2525258
2022-02,770,571978,0.13462056232932035,31476,3097236
2022-03,2235,759183,0.2943954224475522,33711,3856419
2022-04,564,246085,0.22918910132677736,34275,4102504
2022-05,129,58506,0.22049020613270431,34404,4161010
2022-06,89,59545,0.14946678982282308,34493,4220555
2022-07,204,113998,0.17895050790364742,34697,4334553
2022-08,247,102571,0.2408088056078229,34944,4437124
2022-09,158,58255,0.2712213543901811,35102,4495379
2022-10,101,62085,0.16268019650479182,35203,4557464
2022-11,209,89204,0.23429442625891214,35412,4646668
2022-12,169,34509,0.4897273175113738,35581,4681177
2023-01,89,9916,0.8975393303751513,35670,4691093
2023-02,16,6198,0.2581477896095515,35686,4697291
2023-03,25,8947,0.2794232703699564,35711,4706238
2023-04,41,21070,0.19458946369245372,35752,4727308
2023-05,91,30060,0.302727877578177,35843,4757368
2023-06,35,13226,0.26463027370331166,35878,4770594
2023-07,14,4610,0.3036876355748373,35892,4775204
2023-08,2,2973,0.06727211570803902,35894,4778177
2023-09,11,3006,0.36593479707252163,35905,4781183
2023-10,9,5009,0.17967658215212617,35914,4786192
2023-11,21,13070,0.16067329762815608,35935,4799262
2023-12,87,84877,0.10250126653863825,36022,4884139
2024-01,52,42013,0.12377121367195867,36074,4926152
2024-02,2,4503,0.04441483455474128,36076,4930655
2024-03,0,2286,0.0,36076,4932941
2024-04,2,2421,0.08261049153242463,36078,4935362
2024-05,1,5676,0.017618040873854827,36079,4941038
2024-06,0,12303,0.0,36079,4953341
2024-07,0,10130,0.0,36079,4963471
2024-08,0,3648,0.0,36079,4967119
2024-09,0,2491,0.0,36079,4969610
2024-10,0,3895,0.0,36079,4973505
2024-11,0,5038,0.0,36079,4978543
